zone_id,localite,region,latitude,longitude,altitude_m,pente_pct,distance_plan_eau_m,type_sol,occupation_sol,taux_impermeabilisation_pct,densite_pop_hab_km2,reseau_assainissement,profondeur_nappe_m,nb_inondations_2005_2014,annee,pluie_max_24h_mm,pluie_max_72h_mm,nb_jours_pluie,cumul_pluie_hivernage_mm,hauteur_crue_fleuve_m,is_riverain,indice_pluie_impermeabilisation,log_distance_plan_eau,zone_basse,assainissement_score,historique_frequence,probabilite_inondation,niveau_risque,facteur_dominant,facteur_dominant_label
Z0028,Keur Massar,Dakar,14.78862,-17.30674,5.3,0.36,371,Argilo-sableux,Urbain lâche,33.3,5045,Aucun,2.9,3,2025,120.0,192.0,26.3,393.58000000000004,0.0,0,39.959999999999994,5.918893854273146,1,0,0.3,0.9852690392902399,Très élevé,pluie_max_24h_mm,Pluie extrême (24h)
Z0029,Keur Massar,Dakar,14.77624,-17.33414,9.5,1.37,274,Sableux,Urbain dense,80.8,12474,Partiel,3.9,2,2025,120.0,192.0,28.5,421.2,0.0,0,96.96,5.616771097666572,1,1,0.2,0.9563306171874268,Très élevé,pluie_max_24h_mm,Pluie extrême (24h)
Z0030,Keur Massar,Dakar,14.79713,-17.30447,3.5,1.47,516,Sableux,Urbain dense,79.7,16654,Partiel,2.5,3,2025,120.0,192.0,33.8,467.52,0.0,0,95.64,6.248042874508429,1,1,0.3,0.9708891028570817,Très élevé,pluie_max_24h_mm,Pluie extrême (24h)
Z0031,Keur Massar,Dakar,14.79216,-17.29871,7.9,1.78,94,Argileux,Urbain dense,81.1,8099,Complet,2.8,3,2025,120.0,192.0,26.6,393.12,0.0,0,97.32,4.553876891600541,1,2,0.3,0.9493801819148073,Très élevé,pluie_max_24h_mm,Pluie extrême (24h)
Z0032,Keur Massar,Dakar,14.78615,-17.30948,9.3,0.19,507,Hydromorphe,Urbain dense,81.5,10280,Aucun,3.8,9,2025,120.0,192.0,33.6,464.85,0.0,0,97.8,6.230481447578482,1,0,0.9,0.9978752259710014,Très élevé,pluie_max_24h_mm,Pluie extrême (24h)
Z0033,Keur Massar,Dakar,14.76553,-17.30636,0.8,0.45,476,Sableux,Urbain dense,68.4,10091,Partiel,2.6,5,2025,120.0,192.0,31.8,462.38,0.0,0,82.08,6.1675164908883415,1,1,0.5,0.9833033247537379,Très élevé,pluie_max_24h_mm,Pluie extrême (24h)
Z0034,Keur Massar,Dakar,14.80016,-17.32576,9.8,0.19,82,Hydromorphe,Zone humide (Niayes/bas-fond),36.7,127,Partiel,0.2,10,2025,120.0,192.0,30.9,403.90999999999997,0.0,0,44.04,4.418840607796598,0,1,1.0,0.998004884124587,Très élevé,pluie_max_24h_mm,Pluie extrême (24h)
Z0035,Keur Massar,Dakar,14.77703,-17.30544,10.3,0.08,666,Argilo-sableux,Urbain dense,90.8,19050,Aucun,2.6,6,2025,120.0,192.0,34.0,451.66999999999996,0.0,0,108.96,6.502790045915623,0,0,0.6,0.9892209043401171,Très élevé,pluie_max_24h_mm,Pluie extrême (24h)
Z0036,Keur Massar,Dakar,14.78153,-17.31773,12.6,0.32,398,Hydromorphe,Zone humide (Niayes/bas-fond),23.0,219,Aucun,0.4,5,2025,120.0,192.0,31.7,405.28000000000003,0.0,0,27.6,5.988961416889864,0,0,0.5,0.988980138698863,Très élevé,pluie_max_24h_mm,Pluie extrême (24h)
Z0037,Keur Massar,Dakar,14.77812,-17.33691,13.0,0.23,187,Sableux,Urbain dense,78.8,14330,Partiel,4.2,0,2025,120.0,192.0,25.6,390.08000000000004,0.0,0,94.56,5.236441962829949,0,1,0.0,0.8704432036311041,Très élevé,pluie_max_24h_mm,Pluie extrême (24h)
Z0038,Keur Massar,Dakar,14.80449,-17.30964,14.9,0.79,1001,Argilo-sableux,Urbain dense,66.5,11157,Aucun,2.4,0,2025,120.0,192.0,31.7,466.87,0.0,0,79.8,6.90975328164481,0,0,0.0,0.8499388164203053,Très élevé,pluie_max_24h_mm,Pluie extrême (24h)
Z0039,Keur Massar,Dakar,14.77203,-17.29852,10.2,0.66,1921,Hydromorphe,Zone humide (Niayes/bas-fond),34.9,160,Aucun,1.4,5,2025,120.0,192.0,32.4,453.73999999999995,0.0,0,41.88,7.561121589530238,0,0,0.5,0.9853453398413748,Très élevé,pluie_max_24h_mm,Pluie extrême (24h)
Z0040,Yeumbeul,Dakar,14.78486,-17.3463,13.9,0.89,191,Hydromorphe,Urbain dense,88.9,25243,Partiel,4.2,2,2025,120.0,192.0,30.1,427.34,0.0,0,106.68,5.2574953720277815,0,1,0.2,0.959351372082552,Très élevé,pluie_max_24h_mm,Pluie extrême (24h)
Z0041,Yeumbeul,Dakar,14.79585,-17.33945,2.7,0.22,193,Hydromorphe,Végétation naturelle,0.0,307,Aucun,1.6,6,2025,120.0,192.0,28.0,425.78000000000003,0.0,0,0.0,5.267858159063328,1,0,0.6,0.9926115325558283,Très élevé,pluie_max_24h_mm,Pluie extrême (24h)
Z0042,Yeumbeul,Dakar,14.75422,-17.34849,11.4,0.6,732,Sableux,Urbain dense,64.7,8527,Partiel,4.1,2,2025,120.0,192.0,29.5,409.21,0.0,0,77.64,6.597145701886651,0,1,0.2,0.8707225415128192,Très élevé,pluie_max_24h_mm,Pluie extrême (24h)
Z0043,Yeumbeul,Dakar,14.78181,-17.33491,6.9,0.83,375,Sableux,Urbain dense,74.6,17413,Aucun,3.0,3,2025,120.0,192.0,27.6,401.28000000000003,0.0,0,89.52,5.929589143389895,1,0,0.3,0.9832779192149924,Très élevé,pluie_max_24h_mm,Pluie extrême (24h)
Z0044,Yeumbeul,Dakar,14.77663,-17.32142,3.8,1.12,751,Sableux,Urbain dense,92.8,9671,Aucun,3.1,4,2025,120.0,192.0,31.3,442.96000000000004,0.0,0,111.36,6.62273632394984,1,0,0.4,0.9850200965360183,Très élevé,pluie_max_24h_mm,Pluie extrême (24h)
Z0045,Yeumbeul,Dakar,14.79508,-17.34858,0.5,0.27,372,Hydromorphe,Zone humide (Niayes/bas-fond),30.2,152,Partiel,0.6,10,2025,120.0,192.0,30.6,444.85,0.0,0,36.24,5.921578419643816,1,1,1.0,0.9988302168665654,Très élevé,pluie_max_24h_mm,Pluie extrême (24h)
Z0046,Yeumbeul,Dakar,14.76935,-17.34909,10.0,0.09,789,Hydromorphe,Végétation naturelle,12.3,141,Aucun,5.0,0,2025,120.0,192.0,28.8,401.96999999999997,0.0,0,14.76,6.672032945461067,0,0,0.0,0.8590602714640742,Très élevé,pluie_max_24h_mm,Pluie extrême (24h)
Z0047,Yeumbeul,Dakar,14.76226,-17.34898,7.5,0.43,331,Latéritique,Urbain dense,86.5,14003,Partiel,3.3,6,2025,120.0,192.0,36.4,510.53999999999996,0.0,0,103.8,5.805134968916488,0,1,0.6,0.9837819851508792,Très élevé,pluie_max_24h_mm,Pluie extrême (24h)
Z0048,Thiaroye,Dakar,14.72742,-17.37778,9.6,0.37,325,Sableux,Urbain dense,82.3,30649,Partiel,3.2,0,2025,120.0,192.0,33.9,478.41999999999996,0.0,0,98.76,5.786897381366708,0,1,0.0,0.9171297330432728,Très élevé,pluie_max_24h_mm,Pluie extrême (24h)
Z0049,Thiaroye,Dakar,14.75564,-17.39595,8.1,0.96,1561,Argilo-sableux,Urbain dense,49.6,23454,Complet,3.4,0,2025,120.0,192.0,32.7,436.53000000000003,0.0,0,59.52,7.3537223303996315,0,2,0.0,0.6480366896126136,Élevé,pluie_max_24h_mm,Pluie extrême (24h)
Z0050,Thiaroye,Dakar,14.73529,-17.38087,12.8,0.39,353,Hydromorphe,Urbain dense,96.7,13936,Complet,3.8,0,2025,120.0,192.0,29.8,433.81000000000006,0.0,0,116.04,5.869296913133774,0,2,0.0,0.7941937755923866,Très élevé,pluie_max_24h_mm,Pluie extrême (24h)
Z0051,Thiaroye,Dakar,14.74142,-17.37071,1.5,1.77,567,Hydromorphe,Urbain lâche,51.2,3141,Complet,2.2,1,2025,120.0,192.0,32.3,445.35,0.0,0,61.44,6.342121418721152,1,2,0.1,0.9089696534520163,Très élevé,pluie_max_24h_mm,Pluie extrême (24h)
Z0052,Thiaroye,Dakar,14.74302,-17.37482,5.7,1.4,303,Sableux,Urbain lâche,25.9,6751,Partiel,1.6,0,2025,120.0,192.0,34.1,477.06000000000006,0.0,0,31.08,5.717027701406222,0,1,0.0,0.8557003563979069,Très élevé,pluie_max_24h_mm,Pluie extrême (24h)
Z0053,Thiaroye,Dakar,14.72921,-17.39377,0.5,1.18,1472,Sableux,Végétation naturelle,0.0,219,Partiel,5.5,0,2025,120.0,192.0,32.1,454.88,0.0,0,0.0,7.29505641646263,1,1,0.0,0.8214820097180437,Très élevé,pluie_max_24h_mm,Pluie extrême (24h)
Z0054,Thiaroye,Dakar,14.75262,-17.3866,6.1,0.33,378,Latéritique,Urbain lâche,49.2,5113,Inconnu,2.5,1,2025,120.0,192.0,30.7,439.88,0.0,0,59.04,5.937536205082426,0,1,0.1,0.8616934598269632,Très élevé,pluie_max_24h_mm,Pluie extrême (24h)
Z0055,Thiaroye,Dakar,14.75453,-17.37926,2.8,0.18,455,Hydromorphe,Zone humide (Niayes/bas-fond),13.1,234,Complet,2.6,2,2025,120.0,192.0,26.4,396.68,0.0,0,15.72,6.1224928095143865,1,2,0.2,0.9522946152447151,Très élevé,pluie_max_24h_mm,Pluie extrême (24h)
Z0056,Thiaroye,Dakar,14.74129,-17.37287,5.1,1.64,2877,Sableux,Végétation naturelle,6.9,164,Aucun,2.5,1,2025,120.0,192.0,31.6,459.28999999999996,0.0,0,8.28,7.964850887447313,1,0,0.1,0.8887171628009198,Très élevé,pluie_max_24h_mm,Pluie extrême (24h)
Z0057,Thiaroye,Dakar,14.73713,-17.37433,3.7,1.28,539,Hydromorphe,Urbain dense,71.2,13978,Aucun,1.6,9,2025,120.0,192.0,29.5,422.13,0.0,0,85.44,6.29156913955832,1,0,0.9,0.9977775894576424,Très élevé,pluie_max_24h_mm,Pluie extrême (24h)
Z0058,Thiaroye,Dakar,14.75307,-17.36765,2.3,0.2,2691,Argilo-sableux,Urbain dense,79.1,17422,Partiel,2.5,2,2025,120.0,192.0,31.6,444.26000000000005,0.0,0,94.92,7.898039690764619,1,1,0.2,0.9532250964051197,Très élevé,pluie_max_24h_mm,Pluie extrême (24h)
Z0059,Thiaroye,Dakar,14.75459,-17.36199,8.8,1.13,490,Hydromorphe,Urbain lâche,67.6,7129,Complet,5.2,1,2025,120.0,192.0,29.5,441.57,0.0,0,81.11999999999999,6.19644412779452,0,2,0.1,0.8620582172224318,Très élevé,pluie_max_24h_mm,Pluie extrême (24h)
Z0060,Diamaguène,Dakar,14.7617,-17.35512,8.4,0.2,956,Sableux,Urbain dense,98.0,17824,Partiel,3.4,1,2025,120.0,192.0,36.3,526.49,0.0,0,117.6,6.863803391452954,0,1,0.1,0.9070724170731798,Très élevé,pluie_max_24h_mm,Pluie extrême (24h)
Z0061,Diamaguène,Dakar,14.74612,-17.35924,2.9,1.96,434,Sableux,Urbain dense,92.6,14776,Aucun,2.7,1,2025,120.0,192.0,31.7,467.91,0.0,0,111.12,6.075346031088684,1,0,0.1,0.9666579087394175,Très élevé,pluie_max_24h_mm,Pluie extrême (24h)
Z0062,Diamaguène,Dakar,14.73764,-17.35083,8.2,0.19,396,Sableux,Urbain lâche,33.1,4078,Aucun,3.8,2,2025,120.0,192.0,30.7,409.76000000000005,0.0,0,39.72,5.983936280687191,0,0,0.2,0.9515510596069697,Très élevé,pluie_max_24h_mm,Pluie extrême (24h)
Z0063,Diamaguène,Dakar,14.74653,-17.37307,0.5,0.4,2400,Argileux,Végétation naturelle,0.0,175,Aucun,3.1,4,2025,120.0,192.0,25.7,412.25,0.0,0,0.0,7.783640596221253,1,0,0.4,0.9744036785351035,Très élevé,pluie_max_24h_mm,Pluie extrême (24h)
Z0064,Diamaguène,Dakar,14.73508,-17.35535,6.3,0.74,322,Hydromorphe,Zone humide (Niayes/bas-fond),22.0,264,Aucun,3.05,3,2025,120.0,192.0,29.4,420.08000000000004,0.0,0,26.4,5.777652323222656,1,0,0.3,0.9904778858475191,Très élevé,pluie_max_24h_mm,Pluie extrême (24h)
Z0065,Diamaguène,Dakar,14.75615,-17.37415,3.8,1.6,900,Hydromorphe,Zone humide (Niayes/bas-fond),22.3,108,Aucun,2.6,3,2025,120.0,192.0,26.5,424.23,0.0,0,26.76,6.803505257608338,1,0,0.3,0.9870465938817932,Très élevé,pluie_max_24h_mm,Pluie extrême (24h)
Z0066,Diamaguène,Dakar,14.74749,-17.3563,9.9,0.96,686,Hydromorphe,Urbain dense,75.9,7129,Aucun,3.8,3,2025,120.0,192.0,26.5,403.04,0.0,0,91.08,6.532334292222349,0,0,0.3,0.9545563823912236,Très élevé,pluie_max_24h_mm,Pluie extrême (24h)
Z0067,Diamaguène,Dakar,14.72069,-17.34881,8.8,0.21,792,Hydromorphe,Zone humide (Niayes/bas-fond),21.0,151,Partiel,2.7,2,2025,120.0,192.0,31.1,440.13,0.0,0,25.2,6.675823221634848,0,1,0.2,0.948069184364406,Très élevé,pluie_max_24h_mm,Pluie extrême (24h)
Z0068,Diamaguène,Dakar,14.75421,-17.37802,4.0,0.35,631,Latéritique,Urbain dense,89.4,7845,Aucun,3.0,8,2025,120.0,192.0,27.9,401.71,0.0,0,107.28,6.448889394146858,1,0,0.8,0.9968827534638256,Très élevé,pluie_max_24h_mm,Pluie extrême (24h)
Z0069,Diamaguène,Dakar,14.76319,-17.36296,12.6,1.2,4535,Latéritique,Urbain dense,76.7,18567,Partiel,3.4,2,2025,120.0,192.0,32.5,456.71999999999997,0.0,0,92.04,8.419800845407588,0,1,0.2,0.8642142565643569,Très élevé,pluie_max_24h_mm,Pluie extrême (24h)
Z0070,Diamaguène,Dakar,14.75324,-17.33911,10.7,1.68,311,Sableux,Urbain dense,85.0,17007,Complet,3.0,0,2025,120.0,192.0,22.9,344.3,0.0,0,102.0,5.7430031878094825,0,2,0.0,0.7201856513838408,Élevé,pluie_max_24h_mm,Pluie extrême (24h)
Z0071,Mbao,Dakar,14.7438,-17.33805,5.9,0.75,304,Hydromorphe,Zone humide (Niayes/bas-fond),7.7,140,Complet,1.6,0,2025,120.0,192.0,32.5,465.78000000000003,0.0,0,9.24,5.720311776607412,1,2,0.0,0.9019177787353209,Très élevé,pluie_max_24h_mm,Pluie extrême (24h)
Z0072,Mbao,Dakar,14.73961,-17.34465,7.3,1.04,3703,Sableux,Urbain dense,61.6,10509,Partiel,4.2,0,2025,120.0,192.0,29.4,425.4,0.0,0,73.92,8.21716859576607,1,1,0.0,0.8230530089321209,Très élevé,pluie_max_24h_mm,Pluie extrême (24h)
Z0073,Mbao,Dakar,14.75727,-17.34259,16.0,1.81,1354,Hydromorphe,Urbain dense,79.7,12847,Partiel,3.9,1,2025,120.0,192.0,30.7,447.8,0.0,0,95.64,7.2115567333138015,0,1,0.1,0.8461690586504259,Très élevé,pluie_max_24h_mm,Pluie extrême (24h)
Z0074,Mbao,Dakar,14.74396,-17.3368,10.2,0.71,2037,Argileux,Urbain dense,90.3,17170,Partiel,3.7,1,2025,120.0,192.0,28.4,378.28000000000003,0.0,0,108.36,7.61972421378267,0,1,0.1,0.8937607332037486,Très élevé,pluie_max_24h_mm,Pluie extrême (24h)
Z0075,Mbao,Dakar,14.7414,-17.34851,10.2,0.5,2195,Latéritique,Agricole,10.3,527,Aucun,3.3,0,2025,120.0,192.0,33.9,459.02,0.0,0,12.36,7.694392802629421,0,0,0.0,0.8728439394259608,Très élevé,pluie_max_24h_mm,Pluie extrême (24h)
Z0076,Mbao,Dakar,14.74586,-17.3392,16.0,0.2,1362,Sableux,Urbain lâche,63.9,8733,Complet,4.4,0,2025,120.0,192.0,34.1,461.28000000000003,0.0,0,76.68,7.217443431696533,0,2,0.0,0.7360305045262605,Élevé,pluie_max_24h_mm,Pluie extrême (24h)
Z0077,Mbao,Dakar,14.73941,-17.31544,16.9,0.7,1068,Argileux,Urbain lâche,50.1,4466,Partiel,4.9,0,2025,120.0,192.0,26.9,410.75,0.0,0,60.12,6.974478911025045,0,1,0.0,0.8625598716064479,Très élevé,pluie_max_24h_mm,Pluie extrême (24h)
Z0078,Mbao,Dakar,14.75705,-17.32202,7.7,0.18,609,Sableux,Urbain dense,86.7,16447,Aucun,3.4,2,2025,120.0,192.0,28.6,446.32,0.0,0,104.04,6.413458957167357,1,0,0.2,0.9784394726855375,Très élevé,pluie_max_24h_mm,Pluie extrême (24h)
Z0079,Mbao,Dakar,14.74546,-17.31381,10.2,0.4,684,Sableux,Urbain dense,91.1,19439,Aucun,3.7,0,2025,120.0,192.0,28.0,407.7,0.0,0,109.32,6.529418838262226,0,0,0.0,0.9185976022718433,Très élevé,pluie_max_24h_mm,Pluie extrême (24h)
Z0080,Mbao,Dakar,14.75373,-17.32992,1.2,0.76,1222,Argileux,Urbain dense,77.1,31714,Partiel,3.0,2,2025,120.0,192.0,30.7,440.85,0.0,0,92.52,7.109062135687172,1,1,0.2,0.9795923776334665,Très élevé,pluie_max_24h_mm,Pluie extrême (24h)
Z0081,Mbao,Dakar,14.73262,-17.34469,18.4,0.5,675,Argileux,Urbain dense,89.7,10282,Aucun,5.7,0,2025,120.0,192.0,31.3,450.13,0.0,0,107.64,6.516193076042964,0,0,0.0,0.9021199601345019,Très élevé,pluie_max_24h_mm,Pluie extrême (24h)
Z0082,Mbao,Dakar,14.75002,-17.33594,0.9,0.2,596,Hydromorphe,Urbain lâche,51.4,7575,Aucun,2.2,7,2025,120.0,192.0,28.7,405.18,0.0,0,61.68,6.391917113392602,1,0,0.7,0.9975523772624539,Très élevé,pluie_max_24h_mm,Pluie extrême (24h)
Z0083,Mbao,Dakar,14.73248,-17.31342,23.8,0.34,952,Hydromorphe,Végétation naturelle,9.7,315,Aucun,6.0,0,2025,120.0,192.0,31.5,467.6,0.0,0,11.64,6.859614903654202,0,0,0.0,0.8115134974499564,Très élevé,pluie_max_24h_mm,Pluie extrême (24h)
Z0084,Malika,Dakar,14.78923,-17.31489,8.0,0.36,1052,Hydromorphe,Zone humide (Niayes/bas-fond),36.2,248,Aucun,2.0,2,2025,120.0,192.0,32.9,463.65,0.0,0,43.44,6.959398512133975,0,0,0.2,0.9698409272641563,Très élevé,pluie_max_24h_mm,Pluie extrême (24h)
Z0085,Malika,Dakar,14.80317,-17.33333,5.2,0.34,256,Argilo-sableux,Urbain dense,74.9,9459,Partiel,2.4,3,2025,120.0,192.0,31.8,461.28999999999996,0.0,0,89.88,5.54907608489522,0,1,0.3,0.9441338816828206,Très élevé,pluie_max_24h_mm,Pluie extrême (24h)
