zone_id,annee,cumul_pluie_hivernage_mm,nb_jours_pluie,pluie_max_24h_mm,pluie_max_72h_mm,hauteur_crue_fleuve_m,inondation,duree_submersion_jours,is_riverain
Z0016,2016,516.6,33,18.6,35.8,,1,5,0
Z0016,2017,554.5,32,15.5,26.9,,1,2,0
Z0016,2018,383.0,33,22.8,32.3,,1,8,0
Z0016,2019,452.0,36,44.4,57.6,,0,0,0
Z0016,2020,557.7,48,19.3,38.5,,0,0,0
Z0016,2021,452.0,36,35.0,69.9,,1,7,0
Z0016,2022,340.5,21,19.3,28.9,,1,1,0
Z0016,2023,569.0,31,12.4,21.6,,1,1,0
Z0016,2024,446.3,30,10.0,21.4,,0,0,0
Z0017,2015,361.4,30,10.0,18.3,,0,0,0
Z0017,2016,322.6,24,25.0,38.4,,0,0,0
Z0017,2017,374.5,28,14.5,30.0,,1,7,0
Z0017,2018,342.9,26,21.9,29.3,,0,0,0
Z0017,2019,529.4,40,30.1,59.4,,0,0,0
Z0017,2020,509.1,29,34.1,60.6,,0,0,0
Z0017,2021,350.2,25,29.4,43.7,,0,0,0
Z0017,2022,752.9,51,26.8,35.9,,1,3,0
Z0017,2023,401.7,23,30.4,60.6,,0,0,0
Z0017,2024,642.8,42,56.9,114.8,,0,0,0
Z0018,2015,277.0,18,15.1,24.4,,0,0,0
Z0018,2016,383.9,28,15.2,26.4,,0,0,0
Z0018,2017,314.0,19,13.7,24.3,,0,0,0
Z0018,2018,564.2,40,49.5,92.7,,1,17,0
Z0018,2019,340.8,25,15.1,23.5,,0,0,0
Z0018,2020,463.3,39,27.6,50.0,,1,12,0
Z0018,2021,406.3,31,14.2,24.0,,0,0,0
Z0018,2022,391.1,31,31.4,68.1,,0,0,0
Z0018,2023,345.9,31,26.3,34.1,,0,0,0
Z0018,2024,418.5,21,27.1,38.4,,0,0,0
Z0019,2015,312.4,22,19.2,30.5,,1,4,0
Z0019,2016,377.6,30,11.1,17.0,,0,0,0
Z0019,2017,366.0,28,16.4,32.9,,1,22,0
Z0019,2018,385.0,29,21.0,26.2,,0,0,0
Z0019,2019,555.2,39,10.0,22.0,,1,8,0
Z0019,2020,426.9,32,67.0,88.4,,0,0,0
Z0019,2021,349.7,26,38.4,68.0,,0,0,0
Z0019,2022,775.2,52,20.1,42.1,,1,11,0
Z0019,2023,341.5,27,20.9,39.2,,1,5,0
Z0019,2024,418.6,29,13.4,20.9,,1,14,0
Z0020,2015,430.4,34,20.7,30.4,,0,0,0
Z0020,2016,503.2,36,39.8,74.4,,0,0,0
Z0020,2017,401.3,27,18.4,30.6,,0,0,0
Z0020,2018,449.6,30,39.4,67.0,,0,0,0
Z0020,2019,474.1,29,79.9,105.1,,1,11,0
Z0020,2020,555.0,40,26.0,41.3,,0,0,0
Z0020,2021,379.5,30,21.8,42.6,,0,0,0
Z0020,2022,327.0,26,40.5,88.5,,0,0,0
Z0020,2023,494.4,33,22.6,45.4,,0,0,0
Z0020,2024,626.5,47,24.3,33.6,,0,0,0
Z0021,2015,442.5,37,19.8,24.8,,1,15,0
Z0021,2016,274.7,17,29.3,43.9,,1,3,0
Z0021,2017,382.4,25,20.6,31.6,,0,0,0
Z0021,2018,449.4,23,16.5,23.5,,0,0,0
Z0021,2019,472.8,36,11.6,19.1,,0,0,0
Z0021,2020,448.6,33,19.8,41.7,,1,1,0
Z0021,2021,278.4,20,10.0,15.4,,0,0,0
Z0021,2022,579.4,50,122.0,182.5,,1,6,0
Z0021,2023,399.9,29,12.4,22.0,,0,0,0
Z0021,2024,651.5,49,83.3,135.4,,0,0,0
Z0022,2015,399.6,26,40.7,62.8,,1,4,0
Z0022,2016,323.4,16,11.5,19.3,,0,0,0
Z0022,2017,514.5,34,32.7,64.3,,0,0,0
Z0022,2018,510.5,37,16.0,29.1,,0,0,0
Z0022,2019,564.6,43,25.0,48.4,,0,0,0
Z0022,2020,503.9,38,21.0,39.4,,1,4,0
Z0022,2021,348.5,21,25.6,54.9,,0,0,0
Z0022,2022,493.0,38,10.0,20.3,,1,1,0
Z0022,2023,413.1,31,27.0,57.8,,0,0,0
Z0022,2024,539.6,37,17.7,22.8,,0,0,0
Z0023,2015,344.1,26,23.5,39.6,,1,6,0
Z0023,2016,486.0,40,42.2,85.1,,1,10,0
Z0023,2017,519.0,40,46.9,93.5,,1,6,0
Z0023,2018,503.0,45,24.5,30.2,,1,5,0
Z0023,2019,418.7,27,28.9,55.3,,1,6,0
Z0023,2020,551.2,36,11.5,24.0,,1,2,0
Z0023,2021,443.2,30,10.0,18.9,,1,3,0
Z0023,2022,551.6,36,44.7,64.4,,1,4,0
Z0023,2023,325.7,23,23.6,32.9,,1,7,0
Z0023,2024,486.0,33,24.5,49.3,,1,4,0
Z0024,2015,595.7,43,10.2,15.8,,1,4,0
Z0024,2016,323.3,25,10.0,13.3,,0,0,0
Z0024,2017,401.0,35,23.3,44.7,,1,7,0
Z0024,2018,325.9,26,16.5,35.2,,1,1,0
Z0024,2019,388.2,33,29.1,42.9,,0,0,0
Z0024,2020,441.8,35,20.5,37.8,,1,15,0
Z0024,2021,416.4,29,10.2,27.9,,0,0,0
Z0024,2022,318.9,22,10.0,13.1,,1,10,0
Z0024,2023,480.7,36,10.0,14.6,,1,1,0
Z0024,2024,401.9,27,10.0,18.9,,1,9,0
Z0025,2015,815.2,59,18.2,30.9,,0,0,0
Z0025,2016,297.6,18,16.2,35.4,,0,0,0
Z0025,2017,444.7,29,10.0,13.7,,0,0,0
Z0025,2018,349.7,14,13.4,26.0,,0,0,0
Z0025,2019,654.5,43,43.3,85.7,,1,12,0
Z0025,2020,600.2,44,15.5,19.4,,0,0,0
Z0025,2021,362.2,29,19.7,25.4,,0,0,0
Z0025,2022,766.4,51,97.4,211.4,,1,3,0
Z0025,2023,401.6,28,10.0,17.5,,1,2,0
Z0025,2024,549.2,36,14.1,25.0,,0,0,0
Z0026,2015,423.9,28,17.6,25.3,,0,0,0
Z0026,2016,342.7,25,16.6,21.8,,0,0,0
Z0026,2017,425.3,38,26.0,49.0,,0,0,0
Z0026,2018,351.9,30,21.4,32.8,,1,3,0
Z0026,2019,562.9,40,22.8,31.1,,0,0,0
Z0026,2020,362.4,32,11.1,23.8,,0,0,0
Z0026,2021,519.6,40,24.0,29.1,,0,0,0
Z0026,2022,459.4,39,25.0,32.8,,0,0,0
Z0026,2023,350.4,18,21.4,31.8,,0,0,0
Z0026,2024,450.7,37,21.4,15.3,,1,3,0
Z0027,2015,370.1,26,10.0,12.6,,0,0,0
Z0027,2016,344.4,23,47.4,78.0,,0,0,0
Z0027,2017,262.4,17,14.6,29.5,,0,0,0
Z0027,2018,280.2,18,17.5,35.6,,1,3,0
Z0027,2019,569.3,36,43.1,83.5,,0,0,0
Z0027,2020,346.2,30,13.9,19.8,,1,7,0
Z0027,2021,299.2,22,16.3,27.2,,0,0,0
Z0027,2022,337.0,23,10.0,12.9,,0,0,0
Z0027,2023,351.4,22,10.0,13.4,,0,0,0
Z0027,2024,570.3,41,25.1,46.8,,1,16,0
Z0028,2015,206.8,19,16.200000000000003,15.1,,1,18,0
Z0028,2016,273.7,21,12.2,20.2,,0,0,0
Z0028,2017,463.7,40,11.9,14.9,,1,8,0
Z0028,2018,292.4,20,16.200000000000003,27.2,,0,0,0
Z0028,2019,568.1,29,16.1,32.0,,0,0,0
Z0028,2020,464.1,31,18.0,27.9,,1,11,0
Z0028,2021,413.6,31,42.1,84.6,,1,13,0
Z0028,2022,484.2,32,28.9,56.2,,0,0,0
Z0028,2023,300.7,12,10.0,19.1,,0,0,0
Z0028,2024,468.5,28,16.3,35.4,,0,0,0
Z0029,2015,504.0,32,40.1,67.1,,0,0,0
Z0029,2016,299.7,28,29.3,57.8,,0,0,0
Z0029,2017,354.0,17,14.5,24.6,,0,0,0
Z0029,2018,423.9,27,17.4,23.2,,0,0,0
Z0029,2019,209.4,18,15.1,18.6,,0,0,0
Z0029,2020,471.2,37,10.0,14.9,,0,0,0
Z0029,2021,524.4,37,56.5,95.7,,0,0,0
Z0029,2022,455.7,24,14.0,18.9,,0,0,0
Z0029,2023,434.4,33,30.1,52.4,,0,0,0
Z0029,2024,535.3,32,48.1,61.0,,0,0,0
Z0030,2015,361.7,25,20.8,31.7,,0,0,0
Z0030,2016,417.8,31,13.5,25.7,,1,10,0
Z0030,2017,601.8,50,50.1,92.3,,0,0,0
Z0030,2018,554.1,37,12.3,23.7,,1,9,0
Z0030,2019,480.4,33,39.2,66.7,,0,0,0
Z0030,2020,442.9,26,48.9,96.5,,1,3,0
Z0030,2021,502.8,35,10.0,19.7,,0,0,0
Z0030,2022,507.7,37,37.5,74.1,,0,0,0
Z0030,2023,358.6,24,42.4,77.6,,1,7,0
Z0030,2024,447.4,40,24.0,50.3,,1,4,0
Z0031,2015,377.5,27,11.4,18.2,,0,0,0
Z0031,2016,407.3,27,36.6,52.4,,0,0,0
Z0031,2017,298.4,22,22.9,42.7,,0,0,0
Z0031,2018,431.3,32,11.9,19.1,,1,12,0
Z0031,2019,367.1,22,29.5,48.4,,1,4,0
Z0031,2020,561.7,31,20.7,45.5,,0,0,0
Z0031,2021,329.5,25,40.1,56.8,,1,5,0
Z0031,2022,340.4,25,15.1,26.1,,1,2,0
Z0031,2023,333.7,22,13.9,29.4,,0,0,0
Z0031,2024,484.3,33,31.7,56.1,,0,0,0
Z0032,2015,445.2,31,17.4,33.9,,0,0,0
Z0032,2016,375.8,29,23.4,30.7,,1,4,0
Z0032,2017,397.4,29,27.3,59.6,,0,0,0
Z0032,2018,436.6,35,23.4,31.1,,1,3,0
Z0032,2019,479.0,34,31.1,47.1,,1,17,0
Z0032,2020,617.9,46,12.4,23.8,,0,0,0
Z0032,2021,309.4,18,10.0,19.5,,1,8,0
Z0032,2022,483.1,34,37.7,63.3,,1,1,0
Z0032,2023,568.7,41,16.4,25.8,,1,1,0
Z0032,2024,535.4,39,33.3,68.5,,1,2,0
Z0033,2015,373.5,25,18.7,30.7,,0,0,0
Z0033,2016,410.1,28,10.0,12.3,,0,0,0
Z0033,2017,391.1,23,20.2,24.3,,1,2,0
Z0033,2018,341.0,24,10.0,14.7,,1,1,0
Z0033,2019,445.2,32,10.0,21.1,,1,6,0
Z0033,2020,371.4,27,10.0,21.2,,1,15,0
Z0033,2021,449.4,29,10.0,53.1,,1,6,0
Z0033,2022,689.9,43,27.1,50.9,,1,1,0
Z0033,2023,499.3,40,26.4,45.6,,1,8,0
Z0033,2024,652.9,47,10.0,14.3,,1,5,0
Z0034,2015,367.6,26,26.2,53.7,,1,22,0
Z0034,2016,352.8,33,10.0,17.9,,1,11,0
Z0034,2017,347.1,26,10.0,20.1,,1,7,0
Z0034,2018,420.1,38,20.7,27.2,,1,19,0
Z0034,2019,388.6,24,10.0,20.1,,1,9,0
Z0034,2020,474.5,38,24.9,34.4,,1,9,0
Z0034,2021,333.4,27,10.0,12.0,,1,9,0
Z0034,2022,456.9,36,10.0,16.8,,0,0,0
Z0034,2023,467.7,31,44.4,59.0,,1,15,0
Z0034,2024,430.4,30,10.0,19.1,,0,0,0
Z0035,2015,349.8,25,23.4,13.9,,0,0,0
Z0035,2016,486.5,33,25.7,40.9,,1,3,0
Z0035,2017,410.5,26,12.0,17.0,,1,2,0
Z0035,2018,656.9,52,65.2,114.7,,0,0,0
Z0035,2019,484.6,35,14.7,27.0,,0,0,0
Z0035,2020,534.2,40,21.2,33.9,,1,10,0
Z0035,2021,509.7,41,29.4,57.9,,1,3,0
Z0035,2022,312.6,22,10.0,14.0,,1,16,0
Z0035,2023,287.3,22,23.4,27.1,,1,4,0
Z0035,2024,484.6,44,25.6,55.8,,1,5,0
Z0036,2015,292.9,26,10.0,15.1,,1,7,0
Z0036,2016,389.9,34,20.8,44.8,,0,0,0
Z0036,2017,472.2,37,25.8,36.4,,1,11,0
Z0036,2018,392.5,28,21.05,19.0,,0,0,0
Z0036,2019,289.8,20,14.8,23.9,,0,0,0
Z0036,2020,432.3,29,21.3,45.3,,1,4,0
Z0036,2021,294.1,29,17.3,30.0,,0,0,0
Z0036,2022,392.5,40,26.5,34.6,,1,7,0
Z0036,2023,471.5,25,21.05,24.0,,1,10,0
Z0036,2024,625.1,49,39.0,85.5,,1,24,0
Z0037,2015,337.1,25,29.2,63.5,,0,0,0
Z0037,2016,329.7,23,10.0,17.8,,0,0,0
Z0037,2017,340.9,20,10.0,15.2,,1,4,0
Z0037,2018,500.7,31,13.6,29.5,,0,0,0
Z0037,2019,340.9,20,20.7,37.8,,0,0,0
Z0037,2020,407.6,21,11.8,20.0,,0,0,0
Z0037,2021,336.8,27,10.5,16.5,,0,0,0
Z0037,2022,434.5,30,32.0,59.1,,0,0,0
Z0037,2023,313.9,25,21.7,42.9,,0,0,0
Z0037,2024,558.7,34,18.2,35.4,,0,0,0
Z0038,2015,453.6,28,28.0,42.5,,0,0,0
Z0038,2016,584.7,36,26.5,34.3,,0,0,0
Z0038,2017,325.4,25,24.1,22.1,,0,0,0
Z0038,2018,406.5,35,17.4,37.6,,0,0,0
Z0038,2019,447.6,24,11.6,17.2,,0,0,0
Z0038,2020,484.4,33,24.1,40.8,,0,0,0
Z0038,2021,534.8,33,12.9,18.8,,1,5,0
Z0038,2022,657.8,44,63.0,95.7,,1,2,0
Z0038,2023,394.0,32,27.5,45.2,,1,5,0
Z0038,2024,379.9,27,17.0,28.2,,0,0,0
Z0039,2015,373.1,28,11.6,24.1,,1,6,0
Z0039,2016,420.3,29,19.4,32.0,,1,6,0
Z0039,2017,636.0,46,20.7,42.6,,1,15,0
Z0039,2018,414.0,27,22.8,47.8,,0,0,0
Z0039,2019,420.3,31,48.8,74.6,,1,12,0
Z0039,2020,547.8,37,47.8,71.5,,1,13,0
Z0039,2021,446.2,38,30.6,66.7,,1,9,0
Z0039,2022,632.0,46,17.6,35.6,,1,10,0
Z0039,2023,325.1,20,10.0,21.4,,0,0,0
Z0039,2024,322.6,22,14.1,21.3,,0,0,0
Z0040,2015,228.0,13,10.0,16.8,,1,2,0
Z0040,2016,396.0,29,17.3,37.1,,0,0,0
Z0040,2017,338.8,26,10.0,17.4,,0,0,0
Z0040,2018,391.4,24,14.8,66.2,,0,0,0
Z0040,2019,385.7,25,42.5,72.9,,0,0,0
Z0040,2020,586.1,38,41.1,87.5,,0,0,0
Z0040,2021,410.4,34,10.0,20.3,,1,3,0
Z0040,2022,571.3,39,14.8,30.5,,0,0,0
Z0040,2023,513.9,37,10.8,22.1,,0,0,0
Z0040,2024,451.8,36,36.3,56.7,,1,1,0
Z0041,2015,324.3,23,10.2,17.4,,1,2,0
Z0041,2016,634.3,42,31.4,44.4,,0,0,0
Z0041,2017,342.0,18,15.2,19.2,,0,0,0
Z0041,2018,309.7,20,23.7,34.7,,1,5,0
Z0041,2019,586.5,34,14.4,23.2,,0,0,0
Z0041,2020,400.5,31,22.0,30.1,,1,1,0
Z0041,2021,420.7,29,12.9,27.7,,1,1,0
Z0041,2022,297.5,23,15.2,25.5,,1,2,0
Z0041,2023,429.1,27,25.3,45.2,,1,4,0
Z0041,2024,513.2,33,10.0,20.7,,1,13,0
Z0042,2015,505.3,40,19.7,28.8,,0,0,0
Z0042,2016,335.4,29,10.0,17.5,,0,0,0
Z0042,2017,335.4,25,10.3,18.0,,0,0,0
Z0042,2018,247.5,17,10.0,15.1,,1,6,0
Z0042,2019,595.0,41,33.3,70.8,,0,0,0
Z0042,2020,329.1,25,10.0,17.2,,0,0,0
Z0042,2021,484.0,38,13.6,26.0,,0,0,0
Z0042,2022,488.7,34,15.0,27.0,,0,0,0
Z0042,2023,214.3,6,10.0,15.3,,1,3,0
Z0042,2024,557.4,40,10.0,18.9,,0,0,0
Z0043,2015,336.4,22,17.6,33.6,,0,0,0
Z0043,2016,386.5,31,10.0,17.9,,0,0,0
Z0043,2017,257.9,19,11.1,23.1,,0,0,0
Z0043,2018,486.0,36,13.1,23.0,,0,0,0
Z0043,2019,374.7,23,33.2,70.1,,0,0,0
Z0043,2020,553.7,31,15.5,28.6,,1,7,0
Z0043,2021,386.5,22,10.0,12.5,,1,6,0
Z0043,2022,328.1,25,11.1,13.9,,1,9,0
Z0043,2023,461.2,36,51.1,85.1,,0,0,0
Z0043,2024,441.8,31,13.3,21.1,,0,0,0
Z0044,2015,400.6,22,10.9,15.1,,0,0,0
Z0044,2016,348.0,21,13.8,20.8,,1,10,0
Z0044,2017,426.8,35,22.8,45.1,,1,14,0
Z0044,2018,501.7,45,68.6,124.4,,1,2,0
Z0044,2019,534.6,44,50.8,101.8,,1,12,0
Z0044,2020,363.4,25,20.1,36.3,,1,2,0
Z0044,2021,531.8,38,41.0,76.6,,1,17,0
Z0044,2022,477.1,25,27.1,40.8,,0,0,0
Z0044,2023,452.3,28,20.7,31.7,,0,0,0
Z0044,2024,393.3,30,10.0,18.2,,0,0,0
Z0045,2015,421.9,30,54.9,89.0,,1,14,0
Z0045,2016,349.3,22,27.0,50.3,,1,14,0
Z0045,2017,581.0,45,11.7,15.0,,1,25,0
Z0045,2018,438.5,31,10.6,13.4,,1,18,0
Z0045,2019,211.0,10,10.0,13.6,,0,0,0
Z0045,2020,503.4,31,15.1,26.2,,1,35,0
Z0045,2021,441.4,37,15.4,33.6,,1,19,0
Z0045,2022,354.1,22,11.1,22.9,,1,6,0
Z0045,2023,511.9,39,29.3,63.7,,1,4,0
Z0045,2024,636.0,39,45.7,85.7,,0,0,0
Z0046,2015,361.3,24,21.7,39.6,,1,14,0
Z0046,2016,314.4,24,13.1,21.9,,0,0,0
Z0046,2017,452.0,33,50.0,109.6,,0,0,0
Z0046,2018,378.1,28,13.6,28.2,,0,0,0
Z0046,2019,364.6,26,37.4,58.1,,0,0,0
Z0046,2020,604.6,41,11.1,23.5,,0,0,0
Z0046,2021,363.8,24,11.1,14.3,,0,0,0
Z0046,2022,353.4,25,11.4,23.9,,0,0,0
Z0046,2023,406.0,33,32.9,54.5,,1,5,0
Z0046,2024,421.5,30,27.2,57.8,,0,0,0
Z0047,2015,395.1,30,10.0,17.8,,0,0,0
Z0047,2016,398.1,25,24.6,39.5,,0,0,0
Z0047,2017,449.8,33,13.4,21.2,,0,0,0
Z0047,2018,469.4,32,24.6,46.3,,1,1,0
Z0047,2019,558.6,43,23.0,50.1,,1,16,0
Z0047,2020,721.1,48,10.0,17.7,,0,0,0
Z0047,2021,519.6,36,29.0,35.4,,0,0,0
Z0047,2022,509.6,36,34.2,42.1,,0,0,0
Z0047,2023,468.5,38,13.2,23.9,,0,0,0
Z0047,2024,615.6,43,10.0,13.4,,0,0,0
Z0048,2015,520.5,38,10.5,14.6,,0,0,0
Z0048,2016,501.8,39,10.4,22.4,,1,4,0
Z0048,2017,319.2,21,10.0,15.8,,0,0,0
Z0048,2018,417.7,25,16.3,25.2,,0,0,0
Z0048,2019,577.8,42,19.9,29.4,,0,0,0
Z0048,2020,646.9,48,24.4,41.3,,1,3,0
