zone_id,localite,region,latitude,longitude,altitude_m,pente_pct,distance_plan_eau_m,type_sol,occupation_sol,taux_impermeabilisation_pct,densite_pop_hab_km2,reseau_assainissement,profondeur_nappe_m,nb_inondations_2005_2014
Z0045,Yeumbeul,Dakar,14.79508,-17.34858,0.5,0.27,372,Hydromorphe,Zone humide (Niayes/bas-fond),30.2,152,Partiel,0.6,10
Z0046,Yeumbeul,Dakar,14.76935,-17.34909,10.0,0.09,789,Hydromorphe,Végétation naturelle,12.3,141,Aucun,5.0,0
Z0047,Yeumbeul,Dakar,14.76226,-17.34898,7.5,0.43,331,Latéritique,Urbain dense,86.5,14003,Partiel,3.3,6
Z0048,Thiaroye,Dakar,14.72742,-17.37778,9.6,0.37,325,Sableux,Urbain dense,82.3,30649,Partiel,3.2,0
Z0049,Thiaroye,Dakar,14.75564,-17.39595,8.1,0.96,1561,Argilo-sableux,Urbain dense,49.6,23454,Complet,3.4,0
Z0050,Thiaroye,Dakar,14.73529,-17.38087,12.8,0.39,353,Hydromorphe,Urbain dense,96.7,13936,Complet,3.8,0
Z0051,Thiaroye,Dakar,14.74142,-17.37071,1.5,1.77,567,Hydromorphe,Urbain lâche,51.2,3141,Complet,2.2,1
Z0052,Thiaroye,Dakar,14.74302,-17.37482,5.7,1.4,303,Sableux,Urbain lâche,25.9,6751,Partiel,1.6,0
Z0053,Thiaroye,Dakar,14.72921,-17.39377,0.5,1.18,1472,Sableux,Végétation naturelle,0.0,219,Partiel,5.5,0
Z0054,Thiaroye,Dakar,14.75262,-17.3866,6.1,0.33,378,Latéritique,Urbain lâche,49.2,5113,,2.5,1
Z0055,Thiaroye,Dakar,14.75453,-17.37926,2.8,0.18,455,Hydromorphe,Zone humide (Niayes/bas-fond),13.1,234,Complet,2.6,2
Z0056,Thiaroye,Dakar,14.74129,-17.37287,5.1,1.64,2877,Sableux,Végétation naturelle,6.9,164,Aucun,2.5,1
Z0057,Thiaroye,Dakar,14.73713,-17.37433,3.7,1.28,539,Hydromorphe,Urbain dense,71.2,13978,Aucun,1.6,9
Z0058,Thiaroye,Dakar,14.75307,-17.36765,2.3,0.2,2691,Argilo-sableux,Urbain dense,79.1,17422,Partiel,2.5,2
Z0059,Thiaroye,Dakar,14.75459,-17.36199,8.8,1.13,490,Hydromorphe,Urbain lâche,67.6,7129,Complet,5.2,1
Z0060,Diamaguène,Dakar,14.7617,-17.35512,8.4,0.2,956,Sableux,Urbain dense,98.0,17824,Partiel,3.4,1
Z0061,Diamaguène,Dakar,14.74612,-17.35924,2.9,1.96,434,Sableux,Urbain dense,92.6,14776,Aucun,2.7,1
Z0062,Diamaguène,Dakar,14.73764,-17.35083,8.2,0.19,396,Sableux,Urbain lâche,33.1,4078,Aucun,3.8,2
Z0063,Diamaguène,Dakar,14.74653,-17.37307,0.5,0.4,2400,Argileux,Végétation naturelle,0.0,175,Aucun,3.1,4
Z0064,Diamaguène,Dakar,14.73508,-17.35535,6.3,0.74,322,Hydromorphe,Zone humide (Niayes/bas-fond),22.0,264,Aucun,,3
Z0065,Diamaguène,Dakar,14.75615,-17.37415,3.8,1.6,900,Hydromorphe,Zone humide (Niayes/bas-fond),22.3,108,Aucun,2.6,3
Z0066,Diamaguène,Dakar,14.74749,-17.3563,9.9,0.96,686,Hydromorphe,Urbain dense,75.9,7129,Aucun,3.8,3
Z0067,Diamaguène,Dakar,14.72069,-17.34881,8.8,0.21,792,Hydromorphe,Zone humide (Niayes/bas-fond),21.0,151,Partiel,2.7,2
Z0068,Diamaguène,Dakar,14.75421,-17.37802,4.0,0.35,631,Latéritique,Urbain dense,89.4,7845,Aucun,3.0,8
Z0069,Diamaguène,Dakar,14.76319,-17.36296,12.6,1.2,4535,Latéritique,Urbain dense,76.7,18567,Partiel,3.4,2
Z0070,Diamaguène,Dakar,14.75324,-17.33911,10.7,1.68,311,Sableux,Urbain dense,85.0,17007,Complet,3.0,0
Z0071,Mbao,Dakar,14.7438,-17.33805,5.9,0.75,304,Hydromorphe,Zone humide (Niayes/bas-fond),7.7,140,Complet,1.6,0
Z0072,Mbao,Dakar,14.73961,-17.34465,7.3,1.04,3703,Sableux,Urbain dense,61.6,10509,Partiel,4.2,0
Z0073,Mbao,Dakar,14.75727,-17.34259,16.0,1.81,1354,Hydromorphe,Urbain dense,79.7,12847,Partiel,3.9,1
Z0074,Mbao,Dakar,14.74396,-17.3368,-9999.0,0.71,2037,Argileux,Urbain dense,90.3,17170,Partiel,3.7,1
Z0075,Mbao,Dakar,14.7414,-17.34851,10.2,0.5,2195,Latéritique,Agricole,10.3,527,Aucun,3.3,0
Z0076,Mbao,Dakar,14.74586,-17.3392,16.0,0.2,1362,Sableux,Urbain lâche,63.9,8733,Complet,4.4,0
Z0077,Mbao,Dakar,14.73941,-17.31544,16.9,0.7,1068,Argileux,Urbain lâche,50.1,4466,Partiel,4.9,0
Z0078,Mbao,Dakar,14.75705,-17.32202,7.7,0.18,609,Sableux,Urbain dense,86.7,16447,Aucun,3.4,2
Z0079,Mbao,Dakar,14.74546,-17.31381,10.2,0.4,684,Sableux,Urbain dense,91.1,19439,Aucun,3.7,0
Z0080,Mbao,Dakar,14.75373,-17.32992,1.2,0.76,1222,Argileux,Urbain dense,77.1,31714,Partiel,3.0,2
Z0081,Mbao,Dakar,14.73262,-17.34469,18.4,0.5,675,Argileux,Urbain dense,89.7,10282,Aucun,5.7,0
Z0082,Mbao,Dakar,14.75002,-17.33594,0.9,0.2,596,Hydromorphe,Urbain lâche,51.4,7575,Aucun,2.2,7
Z0083,Mbao,Dakar,14.73248,-17.31342,23.8,0.34,952,Hydromorphe,Végétation naturelle,9.7,315,Aucun,6.0,0
Z0084,Malika,Dakar,14.78923,-17.31489,8.0,0.36,1052,Hydromorphe,Zone humide (Niayes/bas-fond),36.2,248,Aucun,2.0,2
Z0085,Malika,Dakar,14.80317,-17.33333,5.2,0.34,256,Argilo-sableux,Urbain dense,74.9,9459,Partiel,2.4,3
Z0086,Malika,Dakar,14.797,-17.3419,0.5,0.62,165,Hydromorphe,Zone humide (Niayes/bas-fond),9.9,165,Aucun,0.5,7
Z0087,Malika,Dakar,14.79645,-17.33342,5.5,0.09,141,Sableux,Urbain dense,91.6,16593,Partiel,3.5,3
Z0088,Malika,Dakar,14.7707,-17.32613,3.7,0.31,73,Latéritique,Urbain lâche,65.0,6947,Aucun,2.4,7
Z0089,Malika,Dakar,14.785,-17.33654,2.9,0.61,1065,Latéritique,Urbain lâche,50.7,8266,Partiel,2.1,2
Z0090,Malika,Dakar,14.76961,-17.32527,6.6,0.87,334,Argilo-sableux,Urbain dense,98.0,11336,Aucun,,4
Z0091,Malika,Dakar,14.79606,-17.34449,5.3,1.1,155,Hydromorphe,Urbain dense,82.0,17599,Aucun,4.0,10
Z0092,Malika,Dakar,14.79835,-17.33308,1.8,0.99,586,Hydromorphe,Zone humide (Niayes/bas-fond),26.9,211,Aucun,1.0,8
Z0093,Malika,Dakar,14.8049,-17.33338,1.8,0.26,324,Sableux,Urbain lâche,39.7,8086,Aucun,2.1,2
Z0094,Jaxaay,Dakar,14.76716,-17.23616,7.7,0.65,1121,Hydromorphe,Zone humide (Niayes/bas-fond),29.5,106,Partiel,2.1,2
Z0095,Jaxaay,Dakar,14.78096,-17.22172,14.7,0.68,963,Hydromorphe,Végétation naturelle,0.0,542,Aucun,4.9,1
Z0096,Jaxaay,Dakar,14.80009,-17.23251,5.5,2.89,399,Hydromorphe,Zone humide (Niayes/bas-fond),27.2,116,Partiel,1.2,3
Z0097,Jaxaay,Dakar,14.79005,-17.21972,21.6,0.09,4378,Hydromorphe,Végétation naturelle,13.7,263,Partiel,4.3,0
Z0098,Jaxaay,Dakar,14.77263,-17.2305,8.1,1.13,853,Sableux,Urbain lâche,25.2,2900,Partiel,2.1,0
Z0099,Jaxaay,Dakar,14.77769,-17.23491,14.7,0.88,2620,Sableux,Urbain lâche,45.8,6663,Aucun,3.9,0
Z0100,Jaxaay,Dakar,14.76893,-17.22383,12.1,0.57,887,Hydromorphe,Urbain dense,66.1,15371,Aucun,4.5,2
Z0101,Jaxaay,Dakar,14.78041,-17.23165,22.2,0.41,2127,Hydromorphe,Zone humide (Niayes/bas-fond),13.9,109,Partiel,0.2,0
Z0102,Jaxaay,Dakar,14.7786,-17.23854,8.0,0.11,759,Hydromorphe,Urbain dense,81.0,23966,Partiel,1.7,9
Z0103,Rufisque,Dakar,14.71686,-17.2484,-9999.0,0.27,646,Sableux,Urbain dense,98.0,14540,Partiel,3.3,1
Z0104,Rufisque,Dakar,14.73616,-17.26163,4.0,0.59,1311,Hydromorphe,Urbain dense,94.6,16709,Partiel,2.8,8
Z0105,Rufisque,Dakar,14.73277,-17.2631,5.9,0.21,1930,Sableux,Urbain lâche,44.0,2332,Complet,3.9,0
Z0106,Rufisque,Dakar,14.69455,-17.26879,6.4,0.93,799,Sableux,Urbain dense,64.6,32847,Aucun,3.1,1
Z0107,Rufisque,Dakar,14.72644,-17.26822,12.1,0.09,670,Sableux,Urbain dense,70.2,28017,Aucun,5.5,1
Z0108,Rufisque,Dakar,14.71863,-17.26058,14.4,0.89,1261,Hydromorphe,Urbain dense,88.5,9764,Complet,4.4,0
Z0109,Rufisque,Dakar,14.71434,-17.28233,15.5,1.41,2093,Sableux,Végétation naturelle,9.1,251,Aucun,4.8,1
Z0110,Rufisque,Dakar,14.70813,-17.2962,10.4,1.01,1269,Hydromorphe,Zone humide (Niayes/bas-fond),18.4,234,Aucun,1.3,2
Z0111,Rufisque,Dakar,14.72642,-17.24225,6.7,0.19,1308,Sableux,Urbain dense,91.2,21458,Partiel,,1
Z0112,Rufisque,Dakar,14.7172,-17.27428,13.4,0.35,466,Sableux,Urbain dense,83.7,27271,Complet,3.7,0
Z0113,Bargny,Dakar,14.73555,-17.23852,-9999.0,0.11,297,Hydromorphe,Urbain lâche,45.7,2721,Complet,4.8,1
Z0114,Bargny,Dakar,14.70073,-17.23962,5.3,1.18,108,Sableux,Urbain lâche,42.2,4779,Aucun,3.3,3
Z0115,Bargny,Dakar,14.70544,-17.22221,-9999.0,0.1,806,Argileux,Urbain dense,86.1,15264,Aucun,5.2,1
Z0116,Bargny,Dakar,14.70282,-17.22198,13.9,0.81,97,Sableux,Urbain lâche,40.6,2542,Complet,4.1,0
Z0117,Bargny,Dakar,14.68992,-17.23425,10.7,0.63,498,Latéritique,Urbain lâche,67.1,8525,Complet,3.6,2
Z0118,Bargny,Dakar,14.69115,-17.24468,1.8,0.27,584,Sableux,Végétation naturelle,5.2,372,Partiel,3.7,0
Z0119,Bargny,Dakar,14.6942,-17.2432,10.9,0.31,477,Argilo-sableux,Agricole,31.1,165,Partiel,3.0,1
Z0120,Bargny,Dakar,14.69562,-17.22149,9.4,0.68,1876,Hydromorphe,Urbain dense,74.5,13167,Partiel,2.5,0
Z0121,Bargny,Dakar,14.7118,-17.22107,12.9,0.45,2136,Sableux,Urbain dense,80.8,16357,Aucun,4.0,3
Z0122,Bargny,Dakar,14.68817,-17.23784,12.2,2.25,757,Argilo-sableux,Urbain dense,71.9,13553,Aucun,4.7,0
Z0123,Bargny,Dakar,14.69114,-17.24875,9.4,0.3,535,Hydromorphe,Zone humide (Niayes/bas-fond),35.6,353,Partiel,2.5,2
Z0124,Bargny,Dakar,14.7104,-17.23034,10.1,0.89,521,Argileux,Urbain lâche,46.2,5843,Aucun,2.9,1
Z0125,Bargny,Dakar,14.70054,-17.22867,16.6,0.66,139,Argilo-sableux,Urbain dense,72.2,21618,Partiel,4.8,1
Z0126,Dakar-Plateau,Dakar,14.67052,-17.43143,21.0,0.3,1656,Hydromorphe,Zone humide (Niayes/bas-fond),37.2,253,Complet,3.5,0
Z0127,Dakar-Plateau,Dakar,14.66946,-17.43927,6.3,1.42,787,Hydromorphe,Zone humide (Niayes/bas-fond),8.5,244,Partiel,1.6,0
Z0128,Dakar-Plateau,Dakar,14.64892,-17.43605,25.3,0.26,1169,Sableux,Urbain dense,83.7,11754,Complet,3.5,0
Z0129,Dakar-Plateau,Dakar,14.6858,-17.41935,13.8,2.37,2316,Latéritique,Urbain lâche,62.8,11997,Complet,3.8,0
Z0130,Dakar-Plateau,Dakar,14.68289,-17.45114,11.1,0.18,1074,Hydromorphe,Urbain dense,92.7,15095,Complet,4.7,0
Z0131,Dakar-Plateau,Dakar,14.66856,-17.4521,23.8,2.2,1258,Argileux,Urbain dense,85.7,8977,Complet,8.3,0
Z0132,Dakar-Plateau,Dakar,14.66194,-17.44092,21.7,3.48,1270,Sableux,Urbain dense,79.0,24471,Complet,4.9,0
Z0133,Dakar-Plateau,Dakar,14.65159,-17.45065,21.0,0.25,1692,Sableux,Urbain dense,98.0,22599,Complet,5.9,0
Z0134,Dakar-Plateau,Dakar,14.66342,-17.44149,21.1,1.69,2455,Sableux,Urbain dense,74.8,12247,Partiel,7.5,0
Z0135,Médina,Dakar,14.68164,-17.43602,5.8,0.48,669,Hydromorphe,Urbain dense,82.9,8468,Partiel,3.3,4
Z0136,Médina,Dakar,14.67527,-17.44466,12.8,0.73,4812,Argileux,Végétation naturelle,16.1,277,Partiel,5.5,1
Z0137,Médina,Dakar,14.66695,-17.4439,17.1,1.36,376,Hydromorphe,Zone humide (Niayes/bas-fond),37.6,200,Complet,3.2,1
Z0138,Médina,Dakar,14.70647,-17.45959,14.0,1.38,569,Hydromorphe,Urbain dense,83.0,22648,Aucun,2.4,2
Z0139,Médina,Dakar,14.6899,-17.45522,19.9,0.2,1019,Hydromorphe,Zone humide (Niayes/bas-fond),36.1,136,Complet,1.7,0
Z0140,Médina,Dakar,14.68781,-17.45632,10.9,0.55,2822,Sableux,Végétation naturelle,0.0,566,Complet,2.9,0
Z0141,Médina,Dakar,14.67266,-17.4657,12.2,1.46,800,Sableux,Urbain dense,83.9,33010,Partiel,5.1,0
Z0142,Médina,Dakar,14.68707,-17.45621,12.7,0.46,539,Hydromorphe,Urbain lâche,63.6,8781,Complet,4.4,1
Z0143,Médina,Dakar,14.69841,-17.46542,19.4,0.58,2297,Hydromorphe,Urbain dense,86.0,10651,Complet,5.2,0
Z0144,Grand Yoff,Dakar,14.73204,-17.45446,21.3,0.68,2815,Argileux,Urbain dense,75.3,23287,Aucun,,1
Z0145,Grand Yoff,Dakar,14.73424,-17.46499,16.4,0.66,750,Sableux,Urbain lâche,58.0,5150,Partiel,6.1,0
Z0146,Grand Yoff,Dakar,14.76824,-17.47781,9.0,0.11,1919,Hydromorphe,Zone humide (Niayes/bas-fond),25.4,368,Complet,2.4,0
Z0147,Grand Yoff,Dakar,14.73194,-17.47609,26.9,0.95,856,Hydromorphe,Agricole,19.4,125,Complet,6.3,0
Z0148,Grand Yoff,Dakar,14.73059,-17.4777,13.9,0.51,1279,Hydromorphe,Agricole,17.9,197,Aucun,3.8,1
Z0149,Grand Yoff,Dakar,14.73215,-17.46616,4.3,0.3,2214,Sableux,Végétation naturelle,9.8,111,Complet,2.1,0
Z0150,Grand Yoff,Dakar,14.72536,-17.4644,9.1,1.71,1311,Argileux,Urbain lâche,46.2,6997,Complet,3.9,0
Z0151,Grand Yoff,Dakar,14.73892,-17.4665,15.7,0.31,2777,Sableux,Urbain lâche,50.6,13283,Partiel,4.6,0
Z0152,Grand Yoff,Dakar,14.7194,-17.47307,23.3,1.04,1874,Argileux,Urbain lâche,60.4,3418,Partiel,6.0,0
Z0153,Grand Yoff,Dakar,14.70957,-17.45297,8.0,1.38,591,Sableux,Urbain dense,80.2,12585,Complet,3.5,0
Z0154,Grand Yoff,Dakar,14.70614,-17.4644,3.7,0.26,692,Argilo-sableux,Urbain lâche,53.7,3142,Partiel,2.2,2
Z0155,Grand Yoff,Dakar,14.7435,-17.4662,18.8,0.49,2224,Sableux,Urbain lâche,39.6,2119,Partiel,6.1,0
Z0156,Grand Yoff,Dakar,14.74519,-17.45574,9.3,0.12,2542,Sableux,Urbain dense,71.8,12980,Partiel,2.7,2
Z0157,Grand Yoff,Dakar,14.7282,-17.47032,6.4,1.31,2224,Sableux,Urbain dense,60.1,34964,Partiel,2.5,2
Z0158,Parcelles Assainies,Dakar,14.76157,-17.42324,20.8,0.3,1237,Argilo-sableux,Végétation naturelle,2.8,286,Aucun,8.0,0
Z0159,Parcelles Assainies,Dakar,14.76218,-17.44181,10.8,0.22,983,Latéritique,Urbain dense,81.1,12347,Partiel,5.6,1
Z0160,Parcelles Assainies,Dakar,14.7896,-17.4278,10.4,0.06,993,Argilo-sableux,Urbain dense,93.6,26197,,2.8,1
Z0161,Parcelles Assainies,Dakar,14.76351,-17.41666,13.3,2.79,2660,Argilo-sableux,Urbain dense,87.6,10720,Partiel,4.6,0
Z0162,Parcelles Assainies,Dakar,14.75642,-17.43541,7.3,1.46,1831,Argilo-sableux,Agricole,4.9,111,Aucun,4.2,0
Z0163,Parcelles Assainies,Dakar,14.75767,-17.45147,11.3,1.22,3217,Sableux,Végétation naturelle,2.7,276,Complet,3.9,0
Z0164,Parcelles Assainies,Dakar,14.75308,-17.42966,15.8,4.06,1465,Hydromorphe,Zone humide (Niayes/bas-fond),20.5,205,Partiel,1.7,0
Z0165,Parcelles Assainies,Dakar,14.77052,-17.44417,3.2,1.39,579,Argileux,Végétation naturelle,15.2,363,Complet,2.8,0
Z0166,Parcelles Assainies,Dakar,14.77096,-17.46583,12.0,0.22,653,Argilo-sableux,Urbain dense,82.0,21914,Aucun,5.0,1
Z0167,Parcelles Assainies,Dakar,14.78546,-17.41686,11.8,0.77,2373,Argilo-sableux,Urbain lâche,42.4,9156,Complet,2.6,0
Z0168,Parcelles Assainies,Dakar,14.76255,-17.45381,20.2,0.07,1168,Hydromorphe,Urbain dense,86.7,21481,Complet,4.1,1
Z0169,Ouakam,Dakar,14.71628,-17.48794,23.4,3.05,2625,Argileux,Urbain lâche,41.1,7508,Aucun,4.4,0
Z0170,Ouakam,Dakar,14.69987,-17.49436,34.4,0.69,418,Latéritique,Agricole,14.2,200,Complet,7.8,0
Z0171,Ouakam,Dakar,14.73221,-17.47891,-9999.0,0.12,3172,Hydromorphe,Urbain dense,91.4,7274,,7.7,0
Z0172,Ouakam,Dakar,14.72291,-17.506,43.1,3.99,2016,Hydromorphe,Urbain dense,63.1,30098,Partiel,8.9,0
Z0173,Ouakam,Dakar,14.71328,-17.49431,22.8,1.04,2984,Argilo-sableux,Urbain dense,80.1,6138,Partiel,5.4,0
Z0174,Ouakam,Dakar,14.73839,-17.49537,27.2,0.53,2818,Hydromorphe,Zone humide (Niayes/bas-fond),41.4,192,Partiel,1.0,2
Z0175,Ouakam,Dakar,14.72375,-17.48094,22.6,0.51,863,Latéritique,Agricole,6.6,260,Complet,5.6,0
Z0176,Ouakam,Dakar,14.7161,-17.4893,14.4,0.33,2573,Sableux,Urbain lâche,54.0,1556,Partiel,4.2,2
Z0177,Ouakam,Dakar,14.71957,-17.49587,13.3,6.68,2478,Hydromorphe,Zone humide (Niayes/bas-fond),8.8,196,Partiel,0.2,0
Z0178,Ouakam,Dakar,14.72372,-17.50475,20.7,1.68,1107,Hydromorphe,Zone humide (Niayes/bas-fond),24.6,124,Partiel,1.6,1
Z0179,Ouakam,Dakar,14.72216,-17.47992,28.5,0.35,1609,Sableux,Urbain dense,75.4,13764,,6.2,0
Z0180,Yoff,Dakar,14.76533,-17.47655,10.1,0.65,1017,Argilo-sableux,Urbain dense,74.5,7601,Partiel,4.0,0
Z0181,Yoff,Dakar,14.73665,-17.46128,6.0,0.12,459,Sableux,Urbain dense,77.7,21298,Partiel,2.7,2
Z0182,Yoff,Dakar,14.75527,-17.45836,17.6,0.05,1042,Argilo-sableux,Urbain dense,97.9,16974,Aucun,4.4,2
Z0183,Yoff,Dakar,14.74673,-17.48669,7.3,0.05,2254,Argilo-sableux,Urbain dense,98.0,18921,Partiel,4.3,1
Z0184,Yoff,Dakar,14.74774,-17.47389,11.5,1.35,1814,Sableux,Urbain dense,85.6,19030,Partiel,,0
Z0185,Yoff,Dakar,14.73893,-17.46575,9.2,0.58,487,Hydromorphe,Zone humide (Niayes/bas-fond),21.7,132,Aucun,1.6,3
Z0186,Yoff,Dakar,14.75659,-17.48393,18.3,0.24,763,Hydromorphe,Urbain lâche,51.9,6760,Partiel,4.5,0
Z0187,Yoff,Dakar,14.74759,-17.45014,16.7,0.59,1141,Hydromorphe,Urbain lâche,67.0,7549,Complet,,0
Z0188,Yoff,Dakar,14.7581,-17.48409,11.5,0.46,1220,Sableux,Urbain dense,91.9,14249,Complet,2.8,0
Z0189,Yoff,Dakar,14.75279,-17.46994,14.7,0.86,2329,Hydromorphe,Agricole,10.8,130,Partiel,4.3,0
Z0190,Yoff,Dakar,14.76312,-17.48194,15.1,1.04,1668,Argilo-sableux,Urbain dense,81.6,15194,Partiel,3.3,1
Z0191,Yoff,Dakar,14.78017,-17.46809,0.5,0.04,709,Sableux,Urbain lâche,60.7,5967,Complet,2.4,0
Z0192,Yoff,Dakar,14.75794,-17.46955,10.5,0.46,736,Hydromorphe,Zone humide (Niayes/bas-fond),28.2,108,Aucun,1.1,2
Z0193,Yoff,Dakar,14.75579,-17.48904,13.4,0.95,1077,Argilo-sableux,Urbain lâche,53.9,2470,Complet,2.7,0
Z0194,Kaolack,Kaolack,14.15848,-16.06817,7.1,0.7,376,Latéritique,Urbain dense,84.7,12607,Aucun,2.3,3
